1, , "Assumption of Moses, Jewish apocrypha written."
6, , "Census of Quirinius; Iudaea Province created under direct Roman administration with capital at Caesarea, as the Romans annex Samaria, Idumea, and Judea (corresponding to the region of the ancient Kingdom of Judah)."
18, 37, "Caiaphas becomes the High Priest of the Jews."
25, 26, "(ca.) Death of Joseph the Betrothed."
26, 36, "Pontius Pilate is appointed the Roman Prefect of Judaea province."
28, , "(ca.) John the Baptist began his ministry in the '15th year of Tiberius' (Luke 3:1-2), preaching 'Repent, for the kingdom of heaven is near' (Matt 3:1-2), baptized Christ in the Jordan (Mark 1:4-11), was arrested and beheaded by Herod Antipas, tetrarch of Galilee."
28, 30, "(ca.) Three year ministry of Jesus Christ, including: Temptation; Appointment of the Twelve Apostles; Sermon on the Mount; Miracles performed; Rejection; Transfiguration; Triumphal Entry into Jerusalem; driving out the Temple money changers; Cursing the fig tree; Giving the great commandment; Anointing; Mystical Supper; Arrest; Sanhedrin Trial; Before Pilate; Passion; Crucifixion on Good Friday; Entombment by Pharisees Joseph of Arimathea and Nicodemus of the Sanhedrin; Harrowing of Hell; Resurrection on Easter Sunday; Appearances to various people over the next forty days; Giving the Great Commission (Matt. 28:16-20); and Ascension."
30, , "(ca.) Martyrdom of Stephen the deacon, the first Christian martyr."
30, , "Conversion of Apostle Paul on road to Damascus."
30, 33, "(ca.) The Holy Spirit descends on the day of Pentecost, filling the followers of Jesus Christ with power from on high."
34, , "Apostle Peter founds See of Antioch."
35, , "The name Christian first used in Antioch."
37, , "Joseph of Arimathea travels to Britain and lands in Glastonbury."
40, , "Apostle Barnabas sent from Jerusalem to Antioch to strengthen community after persecution when church leaders flee city."
42, , "(ca.) Apostle Paul's ecstasy to the third heaven (2 Cor.12:2-4)."
46, 48, "(ca.) Apostle Paul's first missionary journey, with Apostle Barnabas (Acts 13 - 14)."
49, , "Apostolic Council of Jerusalem rules that Gentiles do not have to become Jews before becoming Christians."
49, 52, "(ca.) Apostle Paul's second missionary journey, with Apostle Silas (Acts 15:39 - 18:22)."
50, , "(ca.) Death of Gamaliel, a leading authority in the Sanhedrin and teacher of the Apostle Paul (Acts 22:3)."
50, , "Apostle Matthew finishes the Gospel of Matthew in Aramaic."
52, , "Apostle Thomas arrives in Kerala, introducing Christianity to India."
53, 57, "(ca.) Apostle Paul's third missionary journey (Acts 18:23 - 21:16)."
59, 62, "(ca.) Apostle Paul's fourth missionary journey, voyage to Rome (Acts 27 - 28:16)."
62, , "Martyrdom of Apostle James the Just; crucifixion of Apostle Andrew in Patras."
63, , "Aristobulus consecrated as first bishop of Britain."
64, 68, "First of ten major persections of the Early Church, under Emperor Nero."
66, , "Flight of the Christian community in Jerusalem to Pella, Antioch, and other places in the Decapolis."
66, 73, "Jewish-Roman war."
67, , "Martyrdom of the Apostle Peter in Rome; martyrdom of the Apostle Paul in Rome; Apostle Linus elected first bishop of Rome; Roman legions VI Ferrata, V Macedonia, XV Apollinaris, XII Fulminata and X Fretensis sent to Jerusalem."
68, , "Suicide of Emperor Nero; martyrs Vasilissa and Anastasia of Rome."
69, , "Ignatius of Antioch consecrated bishop of Antioch."
70, , "Apostle Mark writes Gospel; Temple in Jerusalem is destroyed by the Romans; expulsion of the Christians from the synagogues; Rabbi Johanan ben Zacchai founds college at Jamnia that becomes seat of Sanhedrin and center of Judaism A.D. 70-135, enabling emergence of Rabbinic Judaism; beginning of Jewish diaspora; by this time the work of the Apostle Paul has planted the faith on firm foundation in the major cities of the Roman empire."
71, , "Apostle Mark introduces Christianity to Egypt."
75, , "Judea, Galilea and Samaria are renamed Palaestina by the Romans."
80, , "Gospel of Luke written by the Apostle Luke; Jewish historian (and former general) Josephus writes Antiquities; Titus dedicates the Colosseum, site of the martyrdom of many early Christians."
80, 90, "(ca.) Didache written."
85, , "Acts of the Apostles written by Apostle Luke."
90, , "Council of Jamnia (Javneh) marks final separation and distinction between the Jewish and Christian communities, including rejection of the Septuagint widely then in use among the Hellenized Jewish diaspora; Jewish canon of Scripture closed; in the Eighteen Benedictions, Judaism's central prayer, a sentence is included in the Twelfth Benediction cursing the 'Nazarenes', but it was no longer recited after the definite separation of Christians from the synagogue in the next century."
95, , "Apostle John writes Book of Revelation."
90, 96, "(ca.) Persecution of Christians under Emperor Domitian."
96, , "Gospel of John written by Apostle John as supplement and further theological illumination of the Synoptic gospels."
100, , "(ca.) Emergence of Christian Catacombs in the second century."
100, , "Death of Apostle John."
107, , "Martyrdom of Ignatius of Antioch; crucifixion of Apostle Symeon, second Bp. of Jerusalem."
108, 124, "Persecution under Emperor Trajan, continuing under Emepror Hadrian."
110, , "(ca.) Apocalypse of Peter, apocryphal work, considered Scripture by Clement of Alexandria and the list in the Muratorian Canon."
110, 112, "(ca.) Roman magistrate Pliny the Younger, imperial governor of the province of Bithynia et Pontus, writes to Emperor Trajan for instructions regarding official policy concerning Christians (Epistulae X.96; Book 10); the contents of the letters were to become the standard policy toward Christians for the rest of the pagan era, also containing the earliest external account of Christian worship, and reasons for the execution of Christians."
117, 138, "(ca.) Rylands Library Papyrus P52 is generally accepted as the earliest extant record of a canonical New Testament text, dating somewhere between 117 A.D. and 138 A.D."
120, , "Beginning of time of the Apologists: Justin Martyr, Aristides, Tatian, Athenagoras of Athens, Theophilus, Minucius Felix, Tertullian and Quadratus, writing to defend the Church against internal heresies, and to defend the faith before the Jews, and before the larger pagan world, using Greek philosophic concepts and terms."
124, , "Apostles Quadratus and Aristides present Christian apologies to Emperor Hadrian at Athens."
128, , "Aquila's Greek translation of the Old Testament."
130, , "Conversion of Justin Martyr."
132, , "Jews, led by Bar Kochba, whom some identify as the Messiah, revolt against Rome."
135, , "Christmas instituted as a feast day in Rome."
136, , "Emperor Hadrian crushes Jewish resistance, forbids Jews from returning Jerusalem, and changes city name to Aelia Capitolina; first recorded use of title Pope for the bishop of Rome by Pope Hyginus."
144, , "Excommunication of Marcion for his heretical rejection of the Old Testament and for his semi-Gnostic teachings, particularly Docetism."
150, , "Justin Martyr describes Divine Liturgy."
155, , "Martyrdom of Polycarp of Smyrna."
156, , "Beginning of Montanism."
165, , "Martyrdom of Justin."
166, , "Pope Soter inaugurates in Rome a separate annual feast for Pascha, in addition to the weekly Sunday celebrations of the Resurrection, which is also held on a Sunday, in contrast to the Quartodecimans."
167, , "Death of Abercius of Hieropolis, Wonderworker and Equal to the Apostles."
170, , "(ca.) Emergence of Muratorian Canon."
175, , "(ca.) Tatian’s Diatessaron harmonizes the four canonical gospels into single narrative."
177, 180, "Persection under Emperor Marcus Aurelius (161-180)."
180, , "(ca.) Death of early Church chronicler Hegesippus, who wrote against the heresies of the Gnostics and of Marcion."
180, , "Irenaeus of Lyons writes Against Heresies ; Saint Dyfan first martyr in British Isles (at Merthyr Dyfan, Wales); death of Scillitan Martyrs in North Africa."
180, 192, "Theodotion's Greek translation of the Old Testament."
190, , "Pantaenus founds the Catechetical School at Alexandria."
193, 211, "Symmachus' Greek translation of the Old Testament."
195, , "Bishop Saint Elvan dies at Glastonbury."
196, , "Syriac gnostic philosopher Bardaisan writes of Christians amongst the Parthians, Bactrians (Kushans) and other peoples in the Persian Empire."
197, , "Quartodeciman controversy; Tertullian writes Apologeticus, his most famous work, including the phrase 'the blood of the martyrs is the seed of the Church' (Apologeticus, Ch.50)."
200, , "Martyrdom of Irenaeus of Lyons."
202, , "Emperor Septimus Severus issues edict against Christianity and Judaism; Martyrdom of Haralampus of Magnesia."
202, 210, "Persecution under Emperor Septimius Severus (193-211)."
203, , "Martyrdom of Sts. Perpetua and Felicitas in Carthage's amphitheatre."
206, , "King Abgar IX converts Edessa to Christianity."
208, , "Tertullian writes that Christ has followers on the far side of the Roman wall in Britain where Roman legions have not yet penetrated."
209, , "(ca.) Martyrdom of Alban in Britain."
210, , "Hippolytus of Rome, bishop and martyr and last of Greek-speaking fathers in Rome, writes Refutation of All Heresies (Philosophumena), and Apostolic Tradition, the latter containing the earliest known description of the rite of ordination; also writes against Sabellianism, a type of Monarchianism."
215, , "Conversion of Tertullian to Montanism."
220, , "Sextus Julius Africanus writes the Chronographiai, a history of the world up to year 217."
225, , "Death of Tertullian; martyrdom of Tatiana of Rome."
225, 250, "(ca.) Didascalia Apostolorum, 'Teaching of the Apostles', oldest extant manual of church order describes church life at that time; circulated widely in Persia, being translated early on from Greek into Syriac."
